country;year;co2;ghg
AUT;1990;7.3;10.264
AUT;1991;7.8;10.655
AUT;1992;7.1;9.683
AUT;1993;7.1;9.609
AUT;1994;7.1;9.64
AUT;1995;7.5;10.042
AUT;1996;8;10.432
AUT;1997;7.8;10.353
AUT;1998;7.9;10.253
AUT;1999;7.7;10.031
AUT;2000;7.7;10.052
AUT;2001;8.2;10.517
AUT;2002;8.3;10.672
AUT;2003;8.9;11.321
AUT;2004;9;11.222
AUT;2005;9;11.263
AUT;2006;8.7;10.861
AUT;2007;8.4;10.497
AUT;2008;8.3;10.446
AUT;2009;7.6;9.62
AUT;2010;8.2;10.173
AUT;2011;8;9.858
AUT;2012;7.6;9.499
AUT;2013;7.6;9.464
AUT;2014;7.1;8.983
AUT;2015;7.2;9.235
BEL;1990;10.7;14.677
BEL;1991;11.1;14.542
BEL;1992;10.9;14.471
BEL;1993;10.6;14.313
BEL;1994;11.1;15.042
BEL;1995;11;15.227
BEL;1996;11.5;15.558
BEL;1997;11.2;14.684
BEL;1998;11.4;15.158
BEL;1999;11;14.504
BEL;2000;11.1;14.582
BEL;2001;11.2;14.375
BEL;2002;10.4;14.269
BEL;2003;10.8;14.24
BEL;2004;10.7;14.31
BEL;2005;10.2;13.847
BEL;2006;10;13.514
BEL;2007;9.6;13.063
BEL;2008;9.7;12.959
BEL;2009;9;11.665
BEL;2010;9.5;12.128
BEL;2011;8.4;11.025
BEL;2012;8.3;10.694
BEL;2013;8.4;10.663
BEL;2014;7.8;10.11
BEL;2015;8.2;10.33
CZE;1990;14.5;18.897
CZE;1991;13.3;17.184
CZE;1992;12.8;16.516
CZE;1993;12.5;15.74
CZE;1994;11.9;14.987
CZE;1995;11.9;15.034
CZE;1996;12.1;15.264
CZE;1997;11.9;14.92
CZE;1998;11.4;14.358
CZE;1999;10.7;13.495
CZE;2000;11.8;14.429
CZE;2001;11.9;14.464
CZE;2002;11.5;14.153
CZE;2003;11.9;14.477
CZE;2004;11.9;14.554
CZE;2005;11.6;14.318
CZE;2006;11.6;14.436
CZE;2007;11.8;14.5
CZE;2008;11.2;13.916
CZE;2009;10.5;13.043
CZE;2010;10.7;13.181
CZE;2011;10.4;13.044
CZE;2012;10.1;12.709
CZE;2013;9.7;12.345
CZE;2014;9.3;11.956
CZE;2015;9.4;12.071
DNK;1990;9.9;13.728
DNK;1991;11.9;15.758
DNK;1992;10.7;14.545
DNK;1993;11.1;14.92
DNK;1994;11.8;15.618
DNK;1995;11.2;14.974
DNK;1996;13.6;17.401
DNK;1997;11.7;15.537
DNK;1998;10.9;14.727
DNK;1999;10.3;14.217
DNK;2000;9.5;13.37
DNK;2001;9.8;13.645
DNK;2002;9.7;13.51
DNK;2003;10.7;14.416
