country;variable;value2015
BEL;Recycled waste;220.295345
BEL;Renewable energy;0.29559895
BEL;CO2 emission;8.2
BGR;Recycled waste;.
BGR;Renewable energy;1.839451838
BGR;CO2 emission;6.1
CYP;Recycled waste;.
CYP;Renewable energy;0.03070285
CYP;CO2 emission;7
DNK;Recycled waste;365.031978
DNK;Renewable energy;0.571401356
DNK;CO2 emission;5.6
DEU;Recycled waste;421.427275
DEU;Renewable energy;0.275791527
DEU;CO2 emission;8.9
EST;Recycled waste;101.672278
EST;Renewable energy;0.866935229
EST;CO2 emission;11.8
FIN;Recycled waste;202.799842
FIN;Renewable energy;1.420987648
FIN;CO2 emission;7.7
GRC;Recycled waste;74.325254
GRC;Renewable energy;0.124898022
GRC;CO2 emission;5.9
HUN;Recycled waste;122.166156
HUN;Renewable energy;0.110509331
HUN;CO2 emission;4.3
IRL;Recycled waste;204.543492
IRL;Renewable energy;0.047231247
IRL;CO2 emission;7.6
ITA;Recycled waste;215.832645
ITA;Renewable energy;0.160261723
ITA;CO2 emission;5.4
HRV;Recycled waste;.
HRV;Renewable energy;.
HRV;CO2 emission;3.7
LVA;Recycled waste;114.943213
LVA;Renewable energy;0.296394372
LVA;CO2 emission;3.5
LTU;Recycled waste;.
LTU;Renewable energy;2.438351948
LTU;CO2 emission;3.6
LUX;Recycled waste;289.33908
LUX;Renewable energy;0.073007
LUX;CO2 emission;15.5
NLD;Recycled waste;271.102552
NLD;Renewable energy;0.065869291
NLD;CO2 emission;9.2
AUT;Recycled waste;317.063301
AUT;Renewable energy;1.151255444
AUT;CO2 emission;7.2
POL;Recycled waste;120.651975
POL;Renewable energy;0.098343009
POL;CO2 emission;7.3
PRT;Recycled waste;136.7544
PRT;Renewable energy;0.381032783
PRT;CO2 emission;4.5
SVN;Recycled waste;241.438562
SVN;Renewable energy;1.353387092
SVN;CO2 emission;6.2
SVK;Recycled waste;33.785545
SVK;Renewable energy;0.047421823
SVK;CO2 emission;5.4
ESP;Recycled waste;136.803
ESP;Renewable energy;5.92535187
ESP;CO2 emission;5.3
CZE;Recycled waste;93.475404
CZE;Renewable energy;0.315829579
CZE;CO2 emission;9.4
GBR;Recycled waste;209.71818
GBR;Renewable energy;0.277901567
GBR;CO2 emission;6
SWE;Recycled waste;215.16048
SWE;Renewable energy;1.135387189
SWE;CO2 emission;3.8
FRA;Recycled waste;211.344518
FRA;Renewable energy;0.269113447
FRA;CO2 emission;4.4
NOR;Recycled waste;180.030924
NOR;Renewable energy;2.789220655
NOR;CO2 emission;7.1
