country;year;renewable;primary;;
AUS;1990;5.070506;86.38;;
AUS;1991;5.19537;85.17;;
AUS;1992;4.72842;86.76;;
AUS;1993;5.483682;90.94;;
AUS;1994;5.380096;90.88;;
AUS;1995;5.53419;92.7;;
AUS;1996;6.113244;98.76;;
AUS;1997;6.400896;101.28;;
AUS;1998;6.182645;103.91;;
AUS;1999;6.26462;106.18;;
AUS;2000;6.35096;103.1;;
AUS;2001;6.47461;110.3;;
AUS;2002;6.756344;111.86;;
AUS;2003;6.625242;110.79;;
AUS;2004;6.523593;112.67;;
AUS;2005;6.457012;113.48;;
AUS;2006;6.652971;118.17;;
AUS;2007;6.868764;122.22;;
AUS;2008;7.059418;126.74;;
AUS;2009;5.581007;127.13;;
AUS;2010;7.01965;127.63;;
AUS;2011;7.05925;128.35;;
AUS;2012;7.048412;126.77;;
AUS;2013;7.880327;126.49;;
AUS;2014;8.203875;125.25;;
AUS;2015;8.19462;125.3;;
AUT;1990;1.607248;24.88;;
AUT;1991;5.3622;26.48;;
AUT;1992;5.041645;25.45;;
AUT;1993;5.552118;25.74;;
AUT;1994;5.765482;25.67;;
AUT;1995;5.857985;26.81;;
AUT;1996;6.26145;28.5;;
AUT;1997;5.796621;28.29;;
AUT;1998;6.004299;28.77;;
AUT;1999;5.931486;28.71;;
AUT;2000;6.623215;28.61;;
AUT;2001;6.946854;30.23;;
AUT;2002;6.714744;30.48;;
AUT;2003;6.834051;32.13;;
AUT;2004;6.128405;32.65;;
AUT;2005;6.62415;33.54;;
AUT;2006;7.045485;33.63;;
AUT;2007;7.281824;33.22;;
AUT;2008;7.98499;33.41;;
AUT;2009;7.916328;31.64;;
AUT;2010;9.337702;33.82;;
AUT;2011;8.849198;32.86;;
AUT;2012;8.589;32.72;;
AUT;2013;9.8819;33.25;;
AUT;2014;9.580593;32.01;;
AUT;2015;9.837;32.79;;
BEL;1990;14.108742;47.94;;
BEL;1991;15.04904;50.08;;
BEL;1992;0.5063;50.63;;
BEL;1993;0.479568;49.44;;
BEL;1994;0.49837;52.46;;
BEL;1995;0.44322;53.4;;
BEL;1996;0.432971;56.23;;
BEL;1997;0.556776;56.24;;
BEL;1998;0.537398;57.17;;
BEL;1999;0.52808;57.4;;
BEL;2000;0.5809;58.09;;
BEL;2001;0.614058;57.93;;
BEL;2002;0.61248;55.68;;
BEL;2003;0.701558;57.98;;
BEL;2004;0.7456;58.25;;
BEL;2005;0.873;58.2;;
BEL;2006;0.958318;57.73;;
BEL;2007;1.127136;56.64;;
BEL;2008;1.375644;58.29;;
BEL;2009;1.57079;55.9;;
BEL;2010;1.971608;60.11;;
BEL;2011;2.282532;56.22;;
BEL;2012;2.534922;53.82;;
BEL;2013;3.10023;55.86;;
BEL;2014;3.309375;52.95;;
BEL;2015;3.340029;53.27;;
CAN;1990;13.564818;211.29;;
CAN;1991;14.374514;210.77;;
CAN;1992;14.406756;215.67;;
CAN;1993;38.31651;222.9;;
CAN;1994;40.84629;230.77;;
CAN;1995;41.294378;233.83;;
CAN;1996;41.444348;238.46;;
CAN;1997;42.548238;240.93;;
CAN;1998;42.712758;239.69;;
CAN;1999;44.11992;246.48;;
CAN;2000;44.561034;253.62;;
CAN;2001;43.186176;249.92;;
CAN;2002;44.021164;250.69;;
CAN;2003;46.40241;263.95;;
CAN;2004;44.89636;270.46;;
CAN;2005;47.96964;272.4;;
CAN;2006;44.879118;276.69;;
CAN;2007;45.492194;278.41;;
CAN;2008;45.602128;272.74;;
CAN;2009;41.9968;262.48;;
CAN;2010;43.739725;265.25;;
CAN;2011;45.618005;270.73;;
CAN;2012;45.93113;267.82;;
CAN;2013;44.930697;270.83;;
CAN;2014;47.873394;278.82;;
CAN;2015;47.580459;270.19;;
CZE;1990;9.091654;49.79;;
CZE;1991;7.957716;45.24;;
CZE;1992;7.97124;44.04;;
CZE;1993;7.46725;42.67;;
CZE;1994;0.94348;41.2;;
CZE;1995;1.056022;41.74;;
CZE;1996;1.6359;43.05;;
CZE;1997;1.67013;43.38;;
CZE;1998;1.61623;41.98;;
CZE;1999;1.342845;39.15;;
CZE;2000;1.366844;41.17;;
CZE;2001;1.52136;42.26;;
CZE;2002;1.623636;42.84;;
CZE;2003;1.918488;44.72;;
CZE;2004;1.793792;45.76;;
CZE;2005;1.863888;45.24;;
CZE;2006;2.109912;46.27;;
CZE;2007;1.8942;46.2;;
CZE;2008;1.9932;45.3;;
CZE;2009;1.962477;42.57;;
CZE;2010;2.157214;45.13;;
CZE;2011;2.184704;43.52;;
CZE;2012;2.405812;43.27;;
CZE;2013;2.887764;43.23;;
CZE;2014;2.912718;41.97;;
CZE;2015;3.32985;42.15;;
DNK;1990;1.479072;17.36;;
DNK;1991;1.803725;19.25;;
DNK;1992;1.83279;18.42;;
DNK;1993;1.92038;18.92;;
DNK;1994;2.050026;19.58;;
DNK;1995;1.15236;19.4;;
DNK;1996;1.284075;21.95;;
DNK;1997;1.315998;20.34;;
DNK;1998;1.318659;20.01;;
DNK;1999;1.215378;19.17;;
DNK;2000;1.246347;18.63;;
DNK;2001;1.202546;19.21;;
DNK;2002;1.3794;19;;
DNK;2003;1.55373;20.1;;
DNK;2004;1.650456;19.44;;
DNK;2005;1.82196;18.9;;
DNK;2006;2.059432;20.27;;
DNK;2007;2.177778;19.78;;
DNK;2008;2.3088;19.24;;
DNK;2009;2.523108;18.39;;
DNK;2010;2.925896;19.48;;
DNK;2011;2.563575;17.99;;
DNK;2012;2.80098;17.29;;
DNK;2013;2.89492;17.15;;
DNK;2014;2.891745;16.11;;
DNK;2015;3.23932;16.1;;
FIN;1990;6.308874;28.38;;
FIN;1991;6.96718;28.79;;
FIN;1992;6.828621;27.13;;
FIN;1993;7.891958;28.46;;
FIN;1994;8.989362;30.39;;
FIN;1995;8.667324;28.92;;
FIN;1996;6.016674;31.11;;
FIN;1997;5.955196;32.26;;
FIN;1998;6.458631;32.57;;
FIN;1999;6.446556;32.46;;
FIN;2000;6.176773;32.39;;
FIN;2001;7.041437;33.23;;
FIN;2002;6.925576;34.96;;
FIN;2003;7.70583;36.87;;
FIN;2004;8.292575;37.27;;
FIN;2005;7.686165;34.39;;
FIN;2006;8.954606;37.42;;
FIN;2007;8.297186;36.86;;
FIN;2008;7.885807;35.41;;
FIN;2009;7.11147;33.45;;
FIN;2010;8.51316;36.6;;
FIN;2011;8.273169;35.19;;
FIN;2012;7.885512;33.96;;
FIN;2013;7.819821;33.29;;
FIN;2014;8.807202;34.11;;
FIN;2015;7.820343;32.49;;
FRA;1990;57.189753;224.01;;
