country;year;recycled;waste
AUS;1992;0;686.265
AUS;2000;0;692.338
AUS;2007;0;611.012
AUS;2008;0;610.404
AUS;2009;0;609.798
AUS;2010;0;611.011
AUS;2011;0;598.872
AUS;2012;0;584.742
AUS;2013;0;571.354
AUS;2014;0;558.459
AUS;2015;0;560.705
AUT;1990;0;414.814
AUT;1991;0;402.177
AUT;1992;0;405.571
AUT;1993;0;423.335
AUT;1994;0;427.823
AUT;1995;219.693685;435.037
AUT;1996;297.803034;479.554
AUT;1997;314.38215;495.09
AUT;1998;318.994452;495.333
AUT;1999;328.971275;518.065
AUT;2000;339.499392;535.488
AUT;2001;342.155089;532.123
AUT;2002;352.59125;564.146
AUT;2003;361.759938;563.489
AUT;2004;327.39812;570.38
AUT;2005;334.225738;573.286
AUT;2006;352.460224;595.372
AUT;2007;358.594544;595.672
AUT;2008;378.73232;599.26
AUT;2009;363.92867;587.93
AUT;2010;332.020458;558.957
AUT;2011;322.169967;568.201
AUT;2012;330.806794;573.322
AUT;2013;329.956873;571.849
AUT;2014;315.142628;559.756
AUT;2015;317.063301;557.229
BEL;1990;65.24125;343.375
BEL;1995;113.21575;452.863
BEL;1996;151.215116;447.382
BEL;1997;186.47702;454.822
BEL;1998;202.3335;449.63
BEL;1999;221.914484;458.501
BEL;2000;228.298986;469.751
BEL;2001;229.884876;465.354
BEL;2002;245.08815;480.565
BEL;2003;239.370483;462.999
BEL;2004;259.705512;482.724
BEL;2005;261.536184;479.004
BEL;2006;273.581744;481.658
BEL;2007;258.772272;490.099
BEL;2008;257.19606;476.289
BEL;2009;254.6262;463.8
BEL;2010;246.860289;454.623
BEL;2011;244.136256;457.184
BEL;2012;234.630716;446.066
BEL;2013;234.702608;437.878
BEL;2014;227.228748;425.522
BEL;2015;220.295345;411.767
CZE;1994;0;240.299
CZE;1995;0;301.203
CZE;1996;0;309.162
CZE;1997;0;317.258
CZE;1998;1.753476;292.246
CZE;1999;2.938392;326.488
CZE;2000;3.003615;333.735
CZE;2001;2.451708;272.412
CZE;2002;2.497455;277.495
CZE;2003;2.511216;279.024
CZE;2004;15.25997;277.454
CZE;2005;17.85383;287.965
CZE;2006;21.837252;295.098
CZE;2007;29.500585;292.085
CZE;2008;31.687552;304.688
CZE;2009;39.138616;315.634
CZE;2010;49.99594;316.43
CZE;2011;54.0141;317.73
CZE;2012;70.848624;305.382
CZE;2013;73.739578;304.709
CZE;2014;78.14183;307.645
CZE;2015;93.475404;314.732
DNK;1994;0;537.789
DNK;1995;131.232276;520.763
DNK;1996;229.04702;619.046
DNK;1997;208.199436;588.134
DNK;1998;213.33564;592.599
DNK;1999;243.336227;625.543
DNK;2000;246.305787;663.897
DNK;2001;237.092887;656.767
DNK;2002;249.696336;664.086
DNK;2003;274.692989;671.621
DNK;2004;285.10785;695.385
DNK;2005;301.73171;735.931
DNK;2006;308.72226;738.57
DNK;2007;348.512138;788.489
DNK;2008;397.293617;829.423
DNK;2009;371.401184;761.068
DNK;2010;0;770.049
DNK;2011;323.28085;778.99
DNK;2012;331.732844;787.964
DNK;2013;339.987024;787.007
DNK;2014;354.339876;785.676
DNK;2015;365.031978;788.406
FIN;1994;0;411.999
FIN;1995;138.403776;411.916
FIN;1996;137.357136;408.801
FIN;1997;150.007536;446.451
FIN;1998;156.150624;464.734
FIN;1999;162.28968;483.005
FIN;2000;168.390096;501.161
FIN;2001;155.837808;463.803
FIN;2002;153.673632;457.362
FIN;2003;156.066288;464.483
FIN;2004;157.251696;468.011
FIN;2005;160.09896;476.485
FIN;2006;165.53712;492.67
FIN;2007;179.739772;504.887
FIN;2008;178.46633;520.31
FIN;2009;172.154142;479.538
FIN;2010;153.981568;469.456
FIN;2011;175.574352;504.524
FIN;2012;168.438393;505.821
FIN;2013;160.302675;493.239
FIN;2014;156.5486;481.688
FIN;2015;202.799842;499.507
FRA;1992;0;457.87
FRA;1993;0;468.561
FRA;1995;83.650908;472.604
FRA;1996;90.132878;481.994
FRA;1997;98.3478;491.739
FRA;1998;109.44908;502.06
FRA;1999;115.007006;502.214
FRA;2000;124.886055;509.739
FRA;2001;136.42731;522.71
FRA;2002;144.064284;527.708
FRA;2003;141.15976;504.142
FRA;2004;150.19622;517.918
FRA;2005;157.270113;529.529
FRA;2006;164.08179;536.215
FRA;2007;173.211896;542.984
FRA;2008;180.163989;541.033
FRA;2009;182.329631;534.691
FRA;2010;192.03444;533.429
FRA;2011;196.337568;533.526
FRA;2012;198.439228;526.364
FRA;2013;200.984967;519.341
FRA;2014;206.169643;519.319
FRA;2015;211.344518;519.274
DEU;1990;0;630.157
DEU;1995;246.824846;626.459
DEU;1996;272.31449;645.295
DEU;1997;292.013001;662.161
DEU;1998;296.8674;651.025
DEU;1999;328.449849;642.759
DEU;2000;340.238325;648.073
DEU;2001;334.027548;638.676
DEU;2002;362.754942;646.622
DEU;2003;351.117082;607.469
DEU;2004;334.290696;592.714
DEU;2005;0;570.029
DEU;2006;353.573802;569.362
DEU;2007;372.054608;588.694
DEU;2008;380.35008;596.16
DEU;2009;377.7166;598.6
DEU;2010;380.409375;608.655
DEU;2011;391.05108;620.716
DEU;2012;400.202164;613.807
DEU;2013;389.166602;609.979
DEU;2014;411.376288;627.098
DEU;2015;421.427275;631.825
GRC;1990;0;292.725
GRC;1992;0;306.179
GRC;1995;0;296.588
GRC;1996;0;330.855
GRC;1997;32.733876;355.803
GRC;1998;32.936052;370.068
GRC;1999;34.218809;384.481
GRC;2000;35.122208;399.116
GRC;2001;35.870648;407.621
GRC;2002;36.403312;413.674
GRC;2003;33.933573;418.933
GRC;2004;42.84925;424.25
GRC;2005;50.671914;429.423
GRC;2006;55.620608;434.536
GRC;2007;88.334073;439.473
GRC;2008;78.691545;444.585
GRC;2009;85.120686;450.374
GRC;2010;88.398279;516.949
GRC;2011;87.045916;489.022
GRC;2012;81.62142;480.126
GRC;2013;73.743498;466.731
GRC;2014;72.661358;471.827
GRC;2015;74.325254;470.413
HUN;1990;0;529.985
HUN;1995;7.346208;459.138
HUN;1996;7.485152;467.822
HUN;1997;7.785024;486.564
HUN;1998;7.74464;484.04
HUN;1999;7.715936;482.246
HUN;2000;7.12568;445.355
HUN;2001;7.22464;451.54
HUN;2002;11.423225;456.929
HUN;2003;16.219735;463.421
HUN;2004;53.564448;453.936
HUN;2005;44.219232;460.617
HUN;2006;48.722024;468.481
HUN;2007;55.448855;458.255
HUN;2008;69.266552;455.701
HUN;2009;66.678612;432.978
HUN;2010;79.621276;406.231
HUN;2011;84.65974;384.817
HUN;2012;103.03683;404.066
HUN;2013;100.270632;379.813
HUN;2014;117.949295;386.719
HUN;2015;122.166156;379.398
ISL;1995;0;425.963
ISL;1996;0;433.093
ISL;1997;0;440.029
ISL;1998;0;446.792
ISL;1999;0;453.449
ISL;2000;0;463.566
ISL;2001;0;470.119
ISL;2002;0;480.147
ISL;2003;0;486.192
ISL;2004;0;504.974
ISL;2005;0;518.681
ISL;2006;0;570.517
ISL;2007;0;570.118
ISL;2008;0;669.06
ISL;2009;0;417.608
ISL;2010;0;480.757
ISL;2011;0;488.532
ISL;2012;0;503.8
ISL;2013;0;510.658
ISL;2014;0;532.791
ISL;2015;0;589.263
IRL;1995;0;506.142
IRL;1996;0;515.782
IRL;1997;0;538.726
IRL;1998;44.41797;548.37
IRL;1999;0;571.173
IRL;2000;70.454902;592.058
IRL;2001;78.160405;691.685
IRL;2002;125.200548;684.156
IRL;2003;170.0498;720.55
IRL;2004;214.39361;726.758
IRL;2005;224.463006;721.746
IRL;2006;260.3315;786.5
IRL;2007;263.437163;772.543
IRL;2008;241.304448;718.168
IRL;2009;216.5574;646.44
IRL;2010;219.588915;615.095
IRL;2011;218.570699;605.459
IRL;2012;210.652032;575.552
IRL;2014;204.543492;558.862
ITA;1990;0;350.096
ITA;1991;0;405.931
ITA;1993;0;456.081
ITA;1995;21.61272;450.265
ITA;1996;29.031104;453.611
ITA;1997;43.267785;465.245
ITA;1998;51.66887;469.717
ITA;1999;60.021808;496.048
ITA;2000;71.773616;505.448
ITA;2001;91.029912;511.404
ITA;2002;76.465976;516.662
ITA;2003;84.195205;516.535
ITA;2004;93.724752;532.527
ITA;2005;99.62139;538.494
ITA;2006;105.671808;550.374
ITA;2007;137.13575;548.543
ITA;2008;129.838758;545.541
ITA;2009;159.88401;538.33
ITA;2010;168.36472;543.112
ITA;2011;186.446355;525.201
ITA;2012;192.816768;502.127
ITA;2013;195.276644;495.626
ITA;2014;207.016576;497.636
ITA;2015;215.832645;496.167
JPN;1990;0;403.617
JPN;1991;0;409.252
JPN;1992;0;406.114
JPN;1993;0;407.802
JPN;1994;0;410.905
JPN;1995;0;413.245
JPN;1996;0;417.736
JPN;1997;0;418.415
JPN;1998;0;421.664
JPN;1999;0;421.712
JPN;2000;0;429.948
JPN;2001;0;428.12
JPN;2002;0;423.752
JPN;2003;0;423.768
JPN;2004;0;416.305
JPN;2005;0;410.797
JPN;2006;0;405.067
JPN;2007;0;395.439
JPN;2008;0;374.219
JPN;2009;0;359.751
JPN;2010;0;352.846
JPN;2011;0;353.526
JPN;2012;0;352.217
JPN;2013;0;349.723
JPN;2014;0;345.787
JPN;2015;0;343.669
KOR;1990;0;713.976
KOR;1991;0;776.193
KOR;1992;0;625.036
KOR;1993;0;518.106
KOR;1994;0;473.233
KOR;1995;0;384.957
KOR;1996;0;398.244
KOR;1997;0;378.37
KOR;1998;0;348.996
KOR;1999;0;354.056
KOR;2000;0;357.696
KOR;2001;0;371.014
KOR;2002;0;379.425
KOR;2003;0;383.692
KOR;2004;0;376.345
KOR;2005;0;362.668
KOR;2006;0;364.612
KOR;2007;0;374.543
KOR;2008;0;386.152
KOR;2009;0;376.292
KOR;2010;0;362.098
KOR;2011;0;359.054
KOR;2012;0;357.962
KOR;2013;0;354.52
KOR;2014;0;361.592
KOR;2015;0;369.71
LUX;1990;0;585.661
LUX;1991;0;561.146
LUX;1992;0;499.548
LUX;1993;0;506.489
LUX;1994;0;487.286
LUX;1995;117.6238;588.119
LUX;1996;118.223934;585.267
LUX;1997;162.172299;602.871
LUX;1998;192.09806;623.695
LUX;1999;197.17569;644.365
LUX;2000;236.134432;654.112
LUX;2001;241.023636;647.913
LUX;2002;250.112784;656.464
LUX;2003;291.1386;685.032
LUX;2004;285.555275;688.085
LUX;2005;297.15633;683.118
LUX;2006;302.860665;693.045
LUX;2007;316.00935;702.243
LUX;2008;323.05892;702.302
LUX;2009;314.784162;681.351
LUX;2010;315.188625;677.825
LUX;2011;308.175808;664.172
LUX;2012;308.134128;650.072
LUX;2013;286.34768;614.48
LUX;2014;298.512801;625.813
LUX;2015;289.33908;610.42
MEX;1991;0;241.897
MEX;1992;0;247.303
MEX;1993;0;310.037
MEX;1994;0;319.141
MEX;1995;0;324.413
MEX;1996;0;333.998
MEX;1997;0;300.903
MEX;1998;0;309.148
MEX;1999;0;308.592
MEX;2000;0;302.134
MEX;2001;0;305.516
MEX;2002;0;308.307
MEX;2003;0;311.582
MEX;2004;0;323.415
MEX;2005;0;326.396
MEX;2006;0;328.224
MEX;2007;0;329.633
MEX;2008;0;330.762
MEX;2009;0;331.803
MEX;2010;0;341.452
MEX;2011;0;344.802
MEX;2012;0;348.451
NLD;1990;0;496.477
NLD;1991;0;495.867
NLD;1993;0;548.664
NLD;1994;0;553.122
NLD;1995;213.978633;538.989
NLD;1996;228.389025;550.335
NLD;1997;250.25746;573.985
NLD;1998;252.850391;575.969
NLD;1999;254.604144;581.288
NLD;2000;263.860443;598.323
NLD;2001;260.5394;596.2
NLD;2002;272.300112;601.104
NLD;2003;267.504192;586.632
NLD;2004;280.642565;598.385
NLD;2005;278.736422;596.866
NLD;2006;277.864236;593.727
NLD;2007;290.319708;601.076
NLD;2008;288.26072;595.58
NLD;2009;287.567407;585.677
NLD;2010;279.695112;568.486
NLD;2011;278.07785;566.35
NLD;2012;270.787582;548.153
NLD;2013;261.4251;524.95
NLD;2014;268.041436;526.604
NLD;2015;271.102552;523.364
NZL;1990;0;979.939
NZL;1995;0;865.321
NZL;2002;0;762.514
